iter	Logloss
0	0.6563209752
1	0.6181811959
2	0.5955881173
3	0.5751093401
4	0.5596530587
5	0.5400402832
6	0.5228407506
7	0.5096674456
8	0.4977410889
9	0.490451355
10	0.4775875419
11	0.4666849191
12	0.4559010097
13	0.4505476597
14	0.4427529471
15	0.4368185861
16	0.4302360753
17	0.4244134521
18	0.4173090472
19	0.4116197859
20	0.4056267439
21	0.401821725
22	0.3970544434
23	0.3907396589
24	0.3853660366
25	0.3811150251
26	0.3773153251
27	0.3736271449
28	0.3684148298
29	0.3643333435
30	0.3608186776
31	0.3576048715
32	0.3513275146
33	0.3481082589
34	0.3443936811
35	0.339571119
36	0.3340872628
37	0.3305300903
38	0.3265972464
39	0.3216793387
40	0.3176241411
41	0.3121854074
42	0.3090612793
43	0.306540353
44	0.3024040222
45	0.2988772365
46	0.2954169573
47	0.2922375052
48	0.2877149091
49	0.2831281825
